codigo;descripcion;unidad;precio
040231;CANOA ACRILICO CON TUBO LED 1 X 18W 12/C;UNIDA;9664
040230;CANOA ACRILICO CON TUBO LED 2 X 18W 12/C;UNIDA;13025
160073;CANOA C/ACRILICO L1;UNIDA;5840
160072;CANOA C/ACRILICO L1;UNIDA;7983
160071;CANOA C/ACRILICO L1;UNIDA;7983
160070;CANOA C/ACRILICO L1;UNIDA;9664
160069;CANOA C/ACRITICO LED 10W;UNIDA;3319
160067;CANOA C/ACRITICO LED 20W 20/C;UNIDA;5462
160066;CANOA C/ACRITICO LED 30W;UNIDA;5882
160064;CANOA C/ACRITICO LED 40W;UNIDA;8403
160143;CANOA ELECTRICA 20W 50/C;UNIDA;2353
160144;CANOA ELECTRICA 40W 60/C;UNIDA;2437
160220;CANOA SIN BALA P/TUBO LED 1 X 18W;UNIDA;1900
160221;CANOA SIN BALA P/TUBO LED 1 X 9W;UNIDA;1261
160222;CANOA SIN BALA P/TUBO LED 2 X 18W;UNIDA;4034
160151;CANOA T4 12W C/TUBO;UNIDA;2353
160149;CANOA T4 14W C/TUBO;UNIDA;2521
160153;CANOA T4 20W C/TUBO;UNIDA;2941
160154;CANOA T4 22W C/TUBO;UNIDA;3025
160155;CANOA T4 24W C/TUBO;UNIDA;3193
160156;CANOA T4 26W C/TUBO;UNIDA;3361
160157;CANOA T4 28W C/TUBO;UNIDA;3782
160150;CANOA T4 8W C/TUBO;UNIDA;2101
120100;CANOA T5;UNIDA;2521
120120;CANOA T5 13W C/TUBO AMARILLO;UNIDA;2941
120123;CANOA T5 13W C/TUBO AZUL;UNIDA;2941
120125;CANOA T5 13W C/TUBO BLANCO;UNIDA;2941
120124;CANOA T5 13W C/TUBO NEGRO;UNIDA;2941
120121;CANOA T5 13W C/TUBO ROJO;UNIDA;2941
120122;CANOA T5 13W C/TUBO VERDE;UNIDA;2941
160145;CANOA T5 2 X 28W;UNIDA;3782
120130;CANOA T5 21W C/TUBO AMARILLO;UNIDA;3277
120133;CANOA T5 21W C/TUBO AZUL;UNIDA;3277
120135;CANOA T5 21W C/TUBO BLANCO;UNIDA;3353
120134;CANOA T5 21W C/TUBO NEGRO;UNIDA;3277
120131;CANOA T5 21W C/TUBO ROJO;UNIDA;3277
120132;CANOA T5 21W C/TUBO VERDE;UNIDA;3277
120140;CANOA T5 28W C/TUBO AMARILLO;UNIDA;4034
120143;CANOA T5 28W C/TUBO AZUL;UNIDA;4034
120144;CANOA T5 28W C/TUBO NEGRO;UNIDA;4202
120141;CANOA T5 28W C/TUBO ROJO;UNIDA;4034
120142;CANOA T5 28W C/TUBO VERDE;UNIDA;4034
120103;CANOA T5 8W C/TUBO AZUL;UNIDA;2101
160146;CANOA T5 8W C/TUBO BLANCO;UNIDA;2101
120106;CANOA T5 C/TUBO LED 16W CALIDA;UNIDA;5462
120105;CANOA T5 C/TUBO LED 16W FRIA;UNIDA;5462
040236;CANOA TORTUGA CON TUBO LED 1 X 18W 12/C;UNIDA;5798
040238;CANOA TORTUGA CON TUBO LED 1 X 9W 12/C;UNIDA;4202
160141;CANOA TORTUGA L2;UNIDA;4202
160139;CANOA TORTUGA L2;UNIDA;5042
160142;CANOA TORTUGA L2 2 X 18W 10/C;UNIDA;5210
160140;CANOA TORTUGA L2 2 X 36W 10/C;UNIDA;7143
010474;CARRETILLA 85L;UNIDA;54622
011640;CARTONERO;UNIDA;210
011641;CARTONERO SD-20 C/REPUESTOS;UNIDA;1639
011806;"CEPILLO DE COPA HY9251 4""";UNIDA;1975
011807;"CEPILLO DE COPA HY9251 5""";UNIDA;2941
011822;"CEPILLO/COPA TRENZADA HY9441 5""";UNIDA;2185
010173;CHAPA DE BOTON;UNIDA;1261
010174;CHAPA DE CAJON C/2 CANCHOS;UNIDA;1261
200010;CIELO FALSO LAVABLE;UNIDA;2941
200000;CIELO FALSO LAVABLE 600 X 600MM 8/C;UNIDA;1400
200011;CIELO FALSO PUNTO 600 X 600MM 12/C;UNIDA;3025
150043;CINTA LED 3528/54;UNIDA;16387
150041;CINTA LED 5050/30;UNIDA;13025
150042;CINTA LED 5050/60;UNIDA;15546
150046;CINTA LED 5050/60;UNIDA;16807
150047;CINTA LED 3528/54 12V 5MTS IP65;UNIDA;12605
011512;CLIP P/TUBERIA EMT 20-25MM CC20;UNIDA;252
011276;COLGADOR DOBLE 350MM;UNIDA;1008
011270;COLGAGOR 100MM;UNIDA;235
130162;COMPRESOR DE AIRE 200L 3HP 220V;UNIDA;390756
011570;CONDUIT PVC 16X1.4X3000MM CERT.;UNIDA;840
011571;CONDUIT PVC 20X1.5X3000MM CERT.;UNIDA;1261
011572;CONDUIT PVC 25X1.5X3000MM CERT.;UNIDA;1681
160060;CONECTOR P/AMP. GU-10;UNIDA;504
011542;COPLA P/TUB.EMT 20MM JDG4020;UNIDA;252
011543;COPLA P/TUB.EMT 25MM JDG4025;UNIDA;336
011544;COPLA P/TUB.EMT 32MM JDG4032;UNIDA;504
011601;CORTADORA DE PERFILES;UNIDA;483193
011600;CORTADORA DE TUBO;UNIDA;1681
011506;CURVA P/CONDUIT EMT 20MM 125/C;UNIDA;588
011507;CURVA P/CONDUIT EMT 25MM;UNIDA;840
011508;CURVA P/CONDUIT EMT 32MM;UNIDA;1261
011062;"DEST.SUELTO BUENA CALIDA 10""+";UNIDA;1008
011069;DEST.SUELTO BUENA CALIDAD 10 -;UNIDA;924
011070;DEST.SUELTO BUENA CALIDAD 12 -;UNIDA;1681
011063;DEST.SUELTO BUENA CALIDAD 12 +;UNIDA;1008
011064;DEST.SUELTO BUENA CALIDAD 3 -;UNIDA;378
011065;DEST.SUELTO BUENA CALIDAD 4 -;UNIDA;462
011066;DEST.SUELTO BUENA CALIDAD 5 -;UNIDA;546
140140;DISCO DE CORTE P/FIERRO 115MM 50/C;UNIDA;672
140141;DISCO DE CORTE P/FIERRO 180MM 25/C;UNIDA;1681
140150;DISCO DE PULIR 115MM NO.60. 100. 120.;UNIDA;2941
070429;DISCO DIAMON ESPECIAL 115MM;UNIDA;2521
070436;DISCO DIAMON MOJADO 180MM;UNIDA;3361
070430;DISCO DIAMON SECO 115MM;UNIDA;3361
070435;DISCO DIAMON SECO 180MM;UNIDA;3361
140212;"DISCO P/ESMERIL BANCO 6""";UNIDA;2101
140213;"DISCO P/ESMERIL BANCO 8""";UNIDA;2437
140128;DISCO SIERRA DIAMON 230 X 36D;UNIDA;4202
140130;DISCO SIERRA DIAMON 230 X 60D;UNIDA;7143
140129;DISCO SIERRA DIAMON 305 X 40D;UNIDA;4874
130158;DOBLADOR A DE TUBERIA 12T;UNIDA;151261
010019;DRIVER 6-12-18-24W;UNIDA;2101
030630;DUCHA TELEFONO SIN TUBO FLEX.;UNIDA;1513
140012;EMPACADORA HW450;UNIDA;84034
140013;EMPACADORA HW550;UNIDA;134454
159948;ENCH.DOBLE 10A Y 16A.;UNIDA;2101
159942;ENCH.HEMB.VOLAN. 2P+T 10A 250V 70B/840C;UNIDA;1008
159973;ENCH.HEMB.VOLANL.2T+T 16A 250V 35B/420C;UNIDA;1681
159970;ENCH.MAC.PLANO S/REC.2P+T 16A 250 35B/420C;UNIDA;1849
159961;ENCH.MACH 2P+T 10A 250V 70B.840PCS/C;UNIDA;1429
159962;ENCH.MACH ADAPT.AM.RDO.10A NG;UNIDA;1008
159963;ENCH.MACHO CONVER. 2P+T 10A-250V 70B/840C;UNIDA;1008
159960;ENCH.MACHO PRACT.2P 10A 250V N 70B/840C;UNIDA;1261
159985;ENCHUFE TRIPLE C/INTE.SL1048 200/C;UNIDA;3193
010420;ESCOBILLA ACERO 103X300;UNIDA;840
010421;ESCOBILLA ACERO 104X300;UNIDA;1008
010422;ESCOBILLA ACERO 105X300;UNIDA;1261
011143;"ESCUADRA DE ACERO 12"" 12/C";UNIDA;1681
011140;"ESCUADRA DE ACERO 6"" 12/C";UNIDA;840
011161;"ESPATULA 1 1/2"" DE CHINA";UNIDA;588
011160;"ESPATULA 1"" DE CHINA";UNIDA;420
011163;"ESPATULA 2 1/2"" DE CHINA";UNIDA;756
011162;"ESPATULA 2"" DE CHINA";UNIDA;672
011164;"ESPATULA 3"" DE CHINA";UNIDA;756
011165;"ESPATULA 4"" DE CHINA";UNIDA;840
011166;"ESPATULA 5"" DE CHINA";UNIDA;1261
160702;"EXTRACTOR DE AIRE 10""";UNIDA;25210
160703;"EXTRACTOR DE AIRE 12""";UNIDA;29412
160700;"EXTRACTOR DE AIRE 6""";UNIDA;9244
160701;"EXTRACTOR DE AIRE 8""";UNIDA;13445
160710;"EXTRACTOR DE AIRE CUADRADO 4""";UNIDA;10504
160711;"EXTRACTOR DE AIRE CUADRADO 5""";UNIDA;11681
160712;"EXTRACTOR DE AIRE CUADRADO 6""";UNIDA;13025
160713;"EXTRACTOR DE AIRE CUADRADO 8""";UNIDA;14706
010660;"EXTRACTOR POLEAS 3""";UNIDA;3529
010661;"EXTRACTOR POLEAS 4""";UNIDA;4202
010662;"EXTRACTOR POLEAS 6""";UNIDA;5462
010663;"EXTRACTOR POLEAS 8""";UNIDA;6555
200022;FIERRO P/CIELO FALSO 22 X 22 X 3000MM;UNIDA;2101
200021;FIERRO P/CIELO FALSO 26 X 24 X 1220MM;UNIDA;2437
200020;FIERRO P/CIELO FALSO 32 X 24 X 3660MM;UNIDA;4202
200023;FIERRO P/CIELO FALSO 600 X 600MM;UNIDA;1261
160529;"FOCO 3.5"" B0535 C/ROSCA E27 CROMADO";UNIDA;1681
160525;"FOCO 3.5"" B5035 C/ROSCA E27 (1)";UNIDA;1597
160453;FOCO CHICO 25W 3000K 20/C;UNIDA;9664
160530;"FOCO CHICO 3.5"" B0535";UNIDA;1681
160441;FOCO DE PISO;UNIDA;5042
120026;FOCO DOBLE LED CALIDA 3 X 1W 50/C;UNIDA;12185
120025;FOCO DOBLE LED FRIA 3 X 1W 50/C;UNIDA;12185
160867;FOCO EMB, LED 40W;UNIDA;19328
160450;FOCO GRANTE JM-T2-70;UNIDA;5042
120228;"FOCO LED 6"" ZH-BR122 12W FRIA";UNIDA;6555
120230;"FOCO LED 8"" ZH-BR202 20W FRIA";UNIDA;9244
120019;FOCO LED CALIDA 12 X 1W 20/C;UNIDA;8403
120015;FOCO LED CALIDA 7 X 1W 50/C;UNIDA;6303
120017;FOCO LED CALIDA 9 X1W 20/C;UNIDA;7983
120246;FOCO LED CET-093;UNIDA;7143
120248;FOCO LED CET-093;UNIDA;11345
120250;FOCO LED CET-093;UNIDA;12185
120252;FOCO LED CET-093;UNIDA;13866
120232;"FOCO LED CUAD. EMB. ZH-BS161 8"" 16W";UNIDA;3782
120236;"FOCO LED CUAD. EMB. ZH-S163 7"" 16W FRIA";UNIDA;4622
120238;"FOCO LED CUAD. EMB. ZH-S203 9"" 20W FRIA";UNIDA;6303
120018;FOCO LED FRIA 12 X1W 20/C;UNIDA;8403
120014;FOCO LED FRIA 7 X 1W 50/C;UNIDA;6303
120016;FOCO LED FRIA 9 X 1W 20/C;UNIDA;7983
120700;FOCO LED TH-003 3W CALIDA;UNIDA;4202
120091;FOCO LED TH-005 108MM 5W FRIA;UNIDA;5210
120701;FOCO LED TH-005 5W CALIDA;UNIDA;5042
120702;FOCO LED TH-007 7W CALIDA;UNIDA;4202
120092;FOCO LED TH-007 7W FRIA;UNIDA;5210
120094;FOCO LED TH-009;UNIDA;6723
120703;FOCO LED TH-009 9W CALIDA;UNIDA;5882
120705;FOCO LED TH-012 12W CALIDA;UNIDA;6723
120095;FOCO LED TH-012 12W FRIA;UNIDA;7563
120242;FOCO LED ZH-COB 7W;UNIDA;1261
120241;FOCO LED ZH-COB 7W 6500K;UNIDA;1387
120901;FOCO LED ZH-COB052 5W CALIDA;UNIDA;4370
120900;FOCO LED ZH-COB052 5W FRIA;UNIDA;4370
120243;"FOCO LED ZH-COB101 5"" 10W FRIA";UNIDA;6723
120907;FOCO LED ZH-COB102 10W CALIDA;UNIDA;5630
120906;FOCO LED ZH-COB102 10W FRIA;UNIDA;5630
120245;"FOCO LED ZH-COB151 6.5"" 15W FRIA";UNIDA;6303
120917;FOCO LED ZH-COB152 15W CALIDA;UNIDA;6050
120916;FOCO LED ZH-COB152 15W FRIA;UNIDA;6050
120921;FOCO LED ZH-COB202 20W CALIDA;UNIDA;5462
120920;FOCO LED ZH-COB202 20W FRIA;UNIDA;5462
120249;"FOCO LED ZH-COB251 9"" 25W FRIA";UNIDA;7479
120927;FOCO LED ZH-COB252 25W CALIDA;UNIDA;6303
120926;FOCO LED ZH-COB252 25W FRIA;UNIDA;6303
120251;"FOCO LED ZH-COB301 9"" 30W FRIA";UNIDA;9664
120931;FOCO LED ZH-COB302 30W CALIDA;UNIDA;9244
120930;FOCO LED ZH-COB302 30W FRIA;UNIDA;9244
120801;FOCO LED ZH-TD03 3W CALIDA;UNIDA;798
120800;FOCO LED ZH-TD03 3W FRIA;UNIDA;824
120802;FOCO LED ZH-TD04 4W FRIA;UNIDA;1134
120809;FOCO LED ZH-TD07 7W CALIDA;UNIDA;1639
120808;FOCO LED ZH-TD07 7W FRIA;UNIDA;1639
120811;FOCO LED ZH-TD12 12W CALIDA;UNIDA;2101
120810;FOCO LED ZH-TD12 12W FRIA;UNIDA;2101
160526;FOCO METALICO 540;UNIDA;2101
120045;FOCO PANEL LED 12W;UNIDA;6303
